region,GDP per capita (constant 2015 US$),Fossil fuel energy consumption (% of total)
East Asia and Pacific,13216.678518159992,68.2353341590042
Europe and Central Asia,25567.785119939625,76.07016072960558
Latin America and the Caribbean,11377.51825283076,60.13457061876353
Middle East and North Africa,15085.157168392976,95.87143447520666
North America,65633.42952669115,79.82710706321367
South Asia,2190.6786098167977,43.2605454132605
Sub-Saharan Africa,1848.396649231788,26.97357698508679
